round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,optimizer,lr
5,0.028751153498888016,0.028751153498888016,0.119493767619133,0.018758270889520645,0.018758270889520645,0.09621090441942215,16,5,relu,1,0.0,32,relu,256,5,adam,0.001
5,0.04279612377285957,0.04279612377285957,0.15319859981536865,0.03393513709306717,0.03393513709306717,0.13858865201473236,16,5,relu,1,0.0,32,relu,256,5,adam,0.0001
5,0.03438664600253105,0.03438664600253105,0.13355675339698792,0.024440601468086243,0.024440601468086243,0.11334877461194992,16,5,relu,1,0.0,32,relu,256,5,adam,1e-05
5,0.011789820156991482,0.011789820156991482,0.06584435701370239,0.00618398142978549,0.00618398142978549,0.04574364796280861,16,5,relu,1,0.0,64,relu,256,5,adam,0.001
5,0.03545030951499939,0.03545030951499939,0.1370934247970581,0.027521591633558273,0.027521591633558273,0.12267664819955826,16,5,relu,1,0.0,64,relu,256,5,adam,0.0001
5,0.03246055170893669,0.03246055170893669,0.13096772134304047,0.022613201290369034,0.022613201290369034,0.11135154217481613,16,5,relu,1,0.0,64,relu,256,5,adam,1e-05
5,0.05224084109067917,0.05224084109067917,0.17227786779403687,0.04262196645140648,0.04262196645140648,0.1590801626443863,16,5,relu,1,0.05,32,relu,256,5,adam,0.001
5,0.045351993292570114,0.045351993292570114,0.1587361842393875,0.034968048334121704,0.034968048334121704,0.1423197090625763,16,5,relu,1,0.05,32,relu,256,5,adam,0.0001
5,0.032285917550325394,0.032285917550325394,0.12748701870441437,0.022059045732021332,0.022059045732021332,0.10508894175291061,16,5,relu,1,0.05,32,relu,256,5,adam,1e-05
5,0.024827608838677406,0.024827608838677406,0.10832634568214417,0.016106436029076576,0.016106436029076576,0.08633000403642654,16,5,relu,1,0.05,64,relu,256,5,adam,0.001
5,0.035671036690473557,0.035671036690473557,0.1385606825351715,0.029159588739275932,0.029159588739275932,0.12715791165828705,16,5,relu,1,0.05,64,relu,256,5,adam,0.0001
5,0.015835801139473915,0.015835801139473915,0.07899605482816696,0.00955150742083788,0.00955150742083788,0.060450296849012375,16,5,relu,1,0.05,64,relu,256,5,adam,1e-05
5,0.03751014918088913,0.03751014918088913,0.14067859947681427,0.02756008878350258,0.02756008878350258,0.12147057801485062,16,5,relu,1,0.1,32,relu,256,5,adam,0.001
5,0.045467477291822433,0.045467477291822433,0.15709400177001953,0.035452160984277725,0.035452160984277725,0.14018084108829498,16,5,relu,1,0.1,32,relu,256,5,adam,0.0001
5,0.033253077417612076,0.033253077417612076,0.12996521592140198,0.024147814139723778,0.024147814139723778,0.11149708926677704,16,5,relu,1,0.1,32,relu,256,5,adam,1e-05
5,0.043405454605817795,0.043405454605817795,0.1546650379896164,0.033840976655483246,0.033840976655483246,0.1390676349401474,16,5,relu,1,0.1,64,relu,256,5,adam,0.001
5,0.0314808152616024,0.0314808152616024,0.12654182314872742,0.0236058309674263,0.0236058309674263,0.11200180649757385,16,5,relu,1,0.1,64,relu,256,5,adam,0.0001
5,0.028073636814951897,0.028073636814951897,0.11864148080348969,0.020673047751188278,0.020673047751188278,0.10231898725032806,16,5,relu,1,0.1,64,relu,256,5,adam,1e-05
5,0.03480856865644455,0.03480856865644455,0.1348588466644287,0.02549625188112259,0.02549625188112259,0.11722458899021149,16,5,relu,4,0.0,32,relu,256,5,adam,0.001
5,0.039900027215480804,0.039900027215480804,0.1468735635280609,0.031299397349357605,0.031299397349357605,0.13195163011550903,16,5,relu,4,0.0,32,relu,256,5,adam,0.0001
5,0.01128487940877676,0.01128487940877676,0.06583845615386963,0.004635225981473923,0.004635225981473923,0.039561063051223755,16,5,relu,4,0.0,32,relu,256,5,adam,1e-05
5,0.01690702885389328,0.01690702885389328,0.08321265131235123,0.00871956441551447,0.00871956441551447,0.05775970220565796,16,5,relu,4,0.0,64,relu,256,5,adam,0.001
5,0.02130892314016819,0.02130892314016819,0.09757043421268463,0.013234863057732582,0.013234863057732582,0.07513793557882309,16,5,relu,4,0.0,64,relu,256,5,adam,0.0001
5,0.02080678381025791,0.02080678381025791,0.09687793254852295,0.01396303903311491,0.01396303903311491,0.07959335297346115,16,5,relu,4,0.0,64,relu,256,5,adam,1e-05
5,0.03492942079901695,0.03492942079901695,0.13506600260734558,0.02594371698796749,0.02594371698796749,0.11773936450481415,16,5,relu,4,0.05,32,relu,256,5,adam,0.001
5,0.0172259658575058,0.0172259658575058,0.0822800025343895,0.008575920946896076,0.008575920946896076,0.05538531392812729,16,5,relu,4,0.05,32,relu,256,5,adam,0.0001
5,0.030089570209383965,0.030089570209383965,0.12208537012338638,0.020982377231121063,0.020982377231121063,0.10174018144607544,16,5,relu,4,0.05,32,relu,256,5,adam,1e-05
5,0.023939725011587143,0.023939725011587143,0.10732526332139969,0.017517484724521637,0.017517484724521637,0.09397497028112411,16,5,relu,4,0.05,64,relu,256,5,adam,0.001
5,0.033352140337228775,0.033352140337228775,0.13192136585712433,0.023685989901423454,0.023685989901423454,0.1110159233212471,16,5,relu,4,0.05,64,relu,256,5,adam,0.0001
5,0.02923954650759697,0.02923954650759697,0.12040988355875015,0.020144781097769737,0.020144781097769737,0.10068514943122864,16,5,relu,4,0.05,64,relu,256,5,adam,1e-05
5,0.02534657157957554,0.02534657157957554,0.11050067096948624,0.016244685277342796,0.016244685277342796,0.08913098275661469,16,5,relu,4,0.1,32,relu,256,5,adam,0.001
5,0.02833588980138302,0.02833588980138302,0.11735481768846512,0.019161751493811607,0.019161751493811607,0.09736775606870651,16,5,relu,4,0.1,32,relu,256,5,adam,0.0001
5,0.02020362578332424,0.02020362578332424,0.0930175930261612,0.013313425704836845,0.013313425704836845,0.0738467127084732,16,5,relu,4,0.1,32,relu,256,5,adam,1e-05
5,0.045594774186611176,0.045594774186611176,0.1595459282398224,0.034755997359752655,0.034755997359752655,0.14308126270771027,16,5,relu,4,0.1,64,relu,256,5,adam,0.001
5,0.03785981237888336,0.03785981237888336,0.14315077662467957,0.0276444423943758,0.0276444423943758,0.12444356083869934,16,5,relu,4,0.1,64,relu,256,5,adam,0.0001
5,0.017074674367904663,0.017074674367904663,0.08423305302858353,0.009828115813434124,0.009828115813434124,0.06339243054389954,16,5,relu,4,0.1,64,relu,256,5,adam,1e-05
5,0.04520697891712189,0.04520697891712189,0.15854936838150024,0.03613647073507309,0.03613647073507309,0.1436673402786255,16,5,relu,8,0.0,32,relu,256,5,adam,0.001
5,0.030483098700642586,0.030483098700642586,0.12388495355844498,0.021678850054740906,0.021678850054740906,0.10431338846683502,16,5,relu,8,0.0,32,relu,256,5,adam,0.0001
5,0.04070737212896347,0.04070737212896347,0.14963404834270477,0.030682431533932686,0.030682431533932686,0.1323559433221817,16,5,relu,8,0.0,32,relu,256,5,adam,1e-05
5,0.04265100136399269,0.04265100136399269,0.15316976606845856,0.03257275000214577,0.03257275000214577,0.13588586449623108,16,5,relu,8,0.0,64,relu,256,5,adam,0.001
5,0.019706660881638527,0.019706660881638527,0.09120927006006241,0.011522917076945305,0.011522917076945305,0.06790591776371002,16,5,relu,8,0.0,64,relu,256,5,adam,0.0001
5,0.04246162250638008,0.04246162250638008,0.1517278403043747,0.03194886073470116,0.03194886073470116,0.13393928110599518,16,5,relu,8,0.0,64,relu,256,5,adam,1e-05
5,0.05105172470211983,0.05105172470211983,0.16857600212097168,0.04125266522169113,0.04125266522169113,0.15444467961788177,16,5,relu,8,0.05,32,relu,256,5,adam,0.001
5,0.009952389635145664,0.009952389635145664,0.05800970271229744,0.005111411679536104,0.005111411679536104,0.043226517736911774,16,5,relu,8,0.05,32,relu,256,5,adam,0.0001
5,0.0325794480741024,0.0325794480741024,0.1304575502872467,0.02203339897096157,0.02203339897096157,0.10852568596601486,16,5,relu,8,0.05,32,relu,256,5,adam,1e-05
5,0.023352844640612602,0.023352844640612602,0.10528699308633804,0.01322904508560896,0.01322904508560896,0.07957294583320618,16,5,relu,8,0.05,64,relu,256,5,adam,0.001
5,0.026722077280282974,0.026722077280282974,0.11459168791770935,0.017913034185767174,0.017913034185767174,0.09337537735700607,16,5,relu,8,0.05,64,relu,256,5,adam,0.0001
5,0.03853900730609894,0.03853900730609894,0.1443551480770111,0.02893397957086563,0.02893397957086563,0.12733368575572968,16,5,relu,8,0.05,64,relu,256,5,adam,1e-05
5,0.025438979268074036,0.025438979268074036,0.11055483669042587,0.014291276223957539,0.014291276223957539,0.08266951888799667,16,5,relu,8,0.1,32,relu,256,5,adam,0.001
5,0.019598474726080894,0.019598474726080894,0.09446103125810623,0.011141804046928883,0.011141804046928883,0.07077339291572571,16,5,relu,8,0.1,32,relu,256,5,adam,0.0001
5,0.012734734453260899,0.012734734453260899,0.06879748404026031,0.00668670330196619,0.00668670330196619,0.048185672610998154,16,5,relu,8,0.1,32,relu,256,5,adam,1e-05
5,0.03214409202337265,0.03214409202337265,0.12866942584514618,0.023961421102285385,0.023961421102285385,0.11270331591367722,16,5,relu,8,0.1,64,relu,256,5,adam,0.001
5,0.008764119818806648,0.008764119818806648,0.05381397902965546,0.004121724981814623,0.004121724981814623,0.040214937180280685,16,5,relu,8,0.1,64,relu,256,5,adam,0.0001
5,0.040492936968803406,0.040492936968803406,0.14829617738723755,0.031693410128355026,0.031693410128355026,0.13325804471969604,16,5,relu,8,0.1,64,relu,256,5,adam,1e-05
5,0.019583839923143387,0.019583839923143387,0.09334687888622284,0.013132202439010143,0.013132202439010143,0.07526016235351562,16,7,relu,1,0.0,32,relu,256,5,adam,0.001
5,0.03724902123212814,0.03724902123212814,0.14137084782123566,0.027883177623152733,0.027883177623152733,0.12444858998060226,16,7,relu,1,0.0,32,relu,256,5,adam,0.0001
5,0.020417550578713417,0.020417550578713417,0.09471189230680466,0.013308722525835037,0.013308722525835037,0.07700900733470917,16,7,relu,1,0.0,32,relu,256,5,adam,1e-05
5,0.028390755876898766,0.028390755876898766,0.11931034177541733,0.02143453061580658,0.02143453061580658,0.10500025004148483,16,7,relu,1,0.0,64,relu,256,5,adam,0.001
5,0.020684896036982536,0.020684896036982536,0.09471364319324493,0.011767944321036339,0.011767944321036339,0.07001487910747528,16,7,relu,1,0.0,64,relu,256,5,adam,0.0001
5,0.03036387637257576,0.03036387637257576,0.1263885796070099,0.02009008824825287,0.02009008824825287,0.10356603562831879,16,7,relu,1,0.0,64,relu,256,5,adam,1e-05
5,0.03456834331154823,0.03456834331154823,0.13325636088848114,0.025187255814671516,0.025187255814671516,0.11471793800592422,16,7,relu,1,0.05,32,relu,256,5,adam,0.001
5,0.028866054490208626,0.028866054490208626,0.1181650385260582,0.019327213987708092,0.019327213987708092,0.09546669572591782,16,7,relu,1,0.05,32,relu,256,5,adam,0.0001
5,0.037483762949705124,0.037483762949705124,0.13916876912117004,0.026684731245040894,0.026684731245040894,0.1191590279340744,16,7,relu,1,0.05,32,relu,256,5,adam,1e-05
5,0.04375896602869034,0.04375896602869034,0.15520891547203064,0.03463372960686684,0.03463372960686684,0.14050766825675964,16,7,relu,1,0.05,64,relu,256,5,adam,0.001
5,0.029575197026133537,0.029575197026133537,0.12053347378969193,0.01991657353937626,0.01991657353937626,0.09886326640844345,16,7,relu,1,0.05,64,relu,256,5,adam,0.0001
5,0.009393062442541122,0.009393062442541122,0.0628984272480011,0.004278789274394512,0.004278789274394512,0.04742743819952011,16,7,relu,1,0.05,64,relu,256,5,adam,1e-05
5,0.010208922438323498,0.010208922438323498,0.06012231484055519,0.004134816583245993,0.004134816583245993,0.04021257534623146,16,7,relu,1,0.1,32,relu,256,5,adam,0.001
5,0.03819236904382706,0.03819236904382706,0.14245440065860748,0.028195450082421303,0.028195450082421303,0.12458746135234833,16,7,relu,1,0.1,32,relu,256,5,adam,0.0001
5,0.021286603063344955,0.021286603063344955,0.09801536053419113,0.014518649317324162,0.014518649317324162,0.0818931832909584,16,7,relu,1,0.1,32,relu,256,5,adam,1e-05
5,0.02139221876859665,0.02139221876859665,0.09777379781007767,0.01273272093385458,0.01273272093385458,0.0755007192492485,16,7,relu,1,0.1,64,relu,256,5,adam,0.001
5,0.020876742899417877,0.020876742899417877,0.09617945551872253,0.011905357241630554,0.011905357241630554,0.07240323722362518,16,7,relu,1,0.1,64,relu,256,5,adam,0.0001
5,0.03392554447054863,0.03392554447054863,0.1344379335641861,0.024335434660315514,0.024335434660315514,0.11641755700111389,16,7,relu,1,0.1,64,relu,256,5,adam,1e-05
5,0.027891868725419044,0.027891868725419044,0.1166984960436821,0.020189717411994934,0.020189717411994934,0.10024137794971466,16,7,relu,4,0.0,32,relu,256,5,adam,0.001
5,0.013096924871206284,0.013096924871206284,0.07193776965141296,0.0070454636588692665,0.0070454636588692665,0.05135232210159302,16,7,relu,4,0.0,32,relu,256,5,adam,0.0001
5,0.0395842120051384,0.0395842120051384,0.14697784185409546,0.030186012387275696,0.030186012387275696,0.13031192123889923,16,7,relu,4,0.0,32,relu,256,5,adam,1e-05
5,0.04495903477072716,0.04495903477072716,0.1580054759979248,0.03397807478904724,0.03397807478904724,0.1397055983543396,16,7,relu,4,0.0,64,relu,256,5,adam,0.001
5,0.047024406492710114,0.047024406492710114,0.16212697327136993,0.038574520498514175,0.038574520498514175,0.14993414282798767,16,7,relu,4,0.0,64,relu,256,5,adam,0.0001
5,0.04944361746311188,0.04944361746311188,0.1671375185251236,0.040716562420129776,0.040716562420129776,0.15499086678028107,16,7,relu,4,0.0,64,relu,256,5,adam,1e-05
5,0.044170573353767395,0.044170573353767395,0.15690608322620392,0.03475577011704445,0.03475577011704445,0.1422785371541977,16,7,relu,4,0.05,32,relu,256,5,adam,0.001
5,0.019798830151557922,0.019798830151557922,0.09263250976800919,0.010678566992282867,0.010678566992282867,0.0684664398431778,16,7,relu,4,0.05,32,relu,256,5,adam,0.0001
5,0.038074251264333725,0.038074251264333725,0.14389380812644958,0.027954207733273506,0.027954207733273506,0.12620501220226288,16,7,relu,4,0.05,32,relu,256,5,adam,1e-05
5,0.024734489619731903,0.024734489619731903,0.10618800669908524,0.015247809700667858,0.015247809700667858,0.08481922000646591,16,7,relu,4,0.05,64,relu,256,5,adam,0.001
5,0.023516137152910233,0.023516137152910233,0.10475170612335205,0.01451603602617979,0.01451603602617979,0.081458181142807,16,7,relu,4,0.05,64,relu,256,5,adam,0.0001
5,0.021330319344997406,0.021330319344997406,0.09598853439092636,0.011974993161857128,0.011974993161857128,0.06874704360961914,16,7,relu,4,0.05,64,relu,256,5,adam,1e-05
5,0.03186536580324173,0.03186536580324173,0.12690287828445435,0.02322806790471077,0.02322806790471077,0.10914881527423859,16,7,relu,4,0.1,32,relu,256,5,adam,0.001
5,0.027914855629205704,0.027914855629205704,0.11802128702402115,0.020428651943802834,0.020428651943802834,0.10243549942970276,16,7,relu,4,0.1,32,relu,256,5,adam,0.0001
5,0.034213580191135406,0.034213580191135406,0.13373100757598877,0.023672614246606827,0.023672614246606827,0.11113308370113373,16,7,relu,4,0.1,32,relu,256,5,adam,1e-05
5,0.027295399457216263,0.027295399457216263,0.11648315191268921,0.018859658390283585,0.018859658390283585,0.09827721863985062,16,7,relu,4,0.1,64,relu,256,5,adam,0.001
5,0.028513723984360695,0.028513723984360695,0.11950185149908066,0.018784310668706894,0.018784310668706894,0.09773086756467819,16,7,relu,4,0.1,64,relu,256,5,adam,0.0001
5,0.018648065626621246,0.018648065626621246,0.08870305866003036,0.01005403883755207,0.01005403883755207,0.06414740532636642,16,7,relu,4,0.1,64,relu,256,5,adam,1e-05
5,0.037144735455513,0.037144735455513,0.1413848102092743,0.027961844578385353,0.027961844578385353,0.12460000067949295,16,7,relu,8,0.0,32,relu,256,5,adam,0.001
5,0.03538118302822113,0.03538118302822113,0.13589376211166382,0.0245501846075058,0.0245501846075058,0.11343442648649216,16,7,relu,8,0.0,32,relu,256,5,adam,0.0001
5,0.031853802502155304,0.031853802502155304,0.12664227187633514,0.021643877029418945,0.021643877029418945,0.10384128242731094,16,7,relu,8,0.0,32,relu,256,5,adam,1e-05
5,0.040889181196689606,0.040889181196689606,0.14952950179576874,0.031044436618685722,0.031044436618685722,0.13238653540611267,16,7,relu,8,0.0,64,relu,256,5,adam,0.001
5,0.051020409911870956,0.051020409911870956,0.1685706079006195,0.041784387081861496,0.041784387081861496,0.15444253385066986,16,7,relu,8,0.0,64,relu,256,5,adam,0.0001
5,0.021241093054413795,0.021241093054413795,0.09676884114742279,0.012847861275076866,0.012847861275076866,0.07310827076435089,16,7,relu,8,0.0,64,relu,256,5,adam,1e-05
5,0.015376207418739796,0.015376207418739796,0.08019445091485977,0.009444259107112885,0.009444259107112885,0.0641338974237442,16,7,relu,8,0.05,32,relu,256,5,adam,0.001
5,0.03945595398545265,0.03945595398545265,0.14608687162399292,0.0319591648876667,0.0319591648876667,0.13335172832012177,16,7,relu,8,0.05,32,relu,256,5,adam,0.0001
5,0.05090729519724846,0.05090729519724846,0.17034763097763062,0.042359061539173126,0.042359061539173126,0.1583465188741684,16,7,relu,8,0.05,32,relu,256,5,adam,1e-05
5,0.03872840851545334,0.03872840851545334,0.14545483887195587,0.027404652908444405,0.027404652908444405,0.12528181076049805,16,7,relu,8,0.05,64,relu,256,5,adam,0.001
5,0.0300799198448658,0.0300799198448658,0.12372806668281555,0.020811013877391815,0.020811013877391815,0.10413755476474762,16,7,relu,8,0.05,64,relu,256,5,adam,0.0001
5,0.05434222146868706,0.05434222146868706,0.17623646557331085,0.04600609838962555,0.04600609838962555,0.1654784232378006,16,7,relu,8,0.05,64,relu,256,5,adam,1e-05
5,0.0398770309984684,0.0398770309984684,0.14675265550613403,0.030282778665423393,0.030282778665423393,0.12963497638702393,16,7,relu,8,0.1,32,relu,256,5,adam,0.001
5,0.029331540688872337,0.029331540688872337,0.12021966278553009,0.01862233504652977,0.01862233504652977,0.09666460007429123,16,7,relu,8,0.1,32,relu,256,5,adam,0.0001
5,0.02582220360636711,0.02582220360636711,0.1130816787481308,0.018207557499408722,0.018207557499408722,0.09549955278635025,16,7,relu,8,0.1,32,relu,256,5,adam,1e-05
5,0.05202888324856758,0.05202888324856758,0.17200453579425812,0.042658571153879166,0.042658571153879166,0.15874965488910675,16,7,relu,8,0.1,64,relu,256,5,adam,0.001
5,0.015521581284701824,0.015521581284701824,0.07838389277458191,0.008589725941419601,0.008589725941419601,0.05701714754104614,16,7,relu,8,0.1,64,relu,256,5,adam,0.0001
